time,104 GtCO2 temporary storage vs. permanent removal,200 GtCO2 temporary storage vs. permanent removal,296 GtCO2 temporary storage vs. permanent removal
2015.5,0.0,0.0,0.0
2016.5,0.0,0.0,0.0
2017.5,0.0,0.0,0.0
2018.5,0.0,0.0,0.0
2019.5,0.0,0.0,0.0
2020.5,0.0,0.0,0.0
2021.5,0.0,0.0,0.0
2022.5,0.0,0.0,0.0
2023.5,0.0,0.0,0.0
2024.5,0.0,0.0,0.0
2025.5,0.0,0.0,0.0
2026.5,0.0,0.0,0.0
2027.5,0.0,0.0,0.0
2028.5,0.0,0.0,0.0
2029.5,0.0,0.0,0.0
2030.5,0.0,0.0,0.0
2031.5,0.0,0.0,0.0
2032.5,0.0,0.0,0.0
2033.5,0.0,0.0,0.0
2034.5,0.0,0.0,0.0
2035.5,0.0,0.0,0.0
2036.5,0.0,0.0,0.0
2037.5,0.0,0.0,0.0
2038.5,0.0,0.0,0.0
2039.5,0.0,0.0,0.0
2040.5,0.0,0.0,0.0
2041.5,0.0,0.0,0.0
2042.5,0.0,0.0,0.0
2043.5,0.0,0.0,0.0
2044.5,0.0,0.0,0.0
2045.5,0.0,0.0,0.0
2046.5,0.0,0.0,0.0
2047.5,0.0,0.0,0.0
2048.5,0.0,0.0,0.0
2049.5,0.0,0.0,0.0
2050.5,0.0,0.0,0.0
2051.5,0.0,0.0,0.0
2052.5,0.0,0.0,0.0
2053.5,0.0,0.0,0.0
2054.5,0.0,0.0,0.0
2055.5,0.0,0.0,0.0
2056.5,0.0,0.0,0.0
2057.5,3.0517578e-05,-0.00015258789,3.0517578e-05
2058.5,0.00030517578,-0.00048828125,0.00064086914
2059.5,0.0018920898,-0.00036621094,0.00024414062
2060.5,0.0031433105,-0.0016784668,-0.0004272461
2061.5,0.0050964355,-0.0047912598,-0.0009460449
2062.5,0.0060424805,-0.0037231445,-0.0014648438
2063.5,0.0061035156,-0.0028381348,-0.001159668
2064.5,0.004760742,-0.004272461,-0.0007019043
2065.5,0.006713867,-0.013946533,0.0012512207
