time,sce1,sce2,sce3,sce4,sce5,sce6
2015.5,0.0,0.0,0.0,0.0,0.0,0.0
2016.5,0.0,0.0,0.0,0.0,0.0,0.0
2017.5,0.0,0.0,0.0,0.0,0.0,0.0
2018.5,0.0,0.0,0.0,0.0,0.0,0.0
2019.5,0.0,0.0,0.0,0.0,0.0,0.0
2020.5,-0.17950821,-0.17950821,-0.3461914,-0.3461914,-0.5128746,-0.5128746
2021.5,-0.5435066,-0.5435066,-1.0481911,-1.0481911,-1.5528755,-1.5528755
2022.5,-0.90750504,-0.90750504,-1.7501907,-1.7501907,-2.5928726,-2.5928726
2023.5,-1.2715111,-1.2715111,-2.4521942,-2.4521942,-3.6328793,-3.6328793
2024.5,-1.6355095,-1.6355095,-3.154192,-3.154192,-4.6728783,-4.6728783
2025.5,-1.9995079,-1.9995079,-3.8561916,-3.8561916,-5.7128773,-5.7128773
2026.5,-2.3635063,-2.3635063,-4.5581913,-4.5581913,-6.7528763,-6.7528763
2027.5,-2.7275066,-2.7275066,-5.260191,-5.260191,-7.792877,-7.792877
2028.5,-3.091507,-3.091507,-5.9621925,-5.9621925,-8.832878,-8.832878
2029.5,-3.4555073,-3.4555073,-6.664192,-6.664192,-9.872877,-9.872877
2030.5,-3.6400013,-3.6400013,-7.0200024,-7.0200024,-10.400002,-10.400002
2031.5,-3.5681953,-3.6399994,-6.881521,-7.0200005,-10.194848,-10.399999
2032.5,-3.422596,-3.6399994,-6.6007223,-7.0199986,-9.778849,-10.399999
2033.5,-3.2769966,-3.6399994,-6.3199224,-7.0199995,-9.362849,-10.4
2034.5,-3.1313953,-3.6399994,-6.0391226,-7.0199995,-8.946849,-10.4
2035.5,-2.985797,-3.6399994,-5.7583227,-7.0199995,-8.5308485,-10.4
2036.5,-2.8401976,-3.6400013,-5.477524,-7.0200005,-8.11485,-10.400002
2037.5,-2.6945963,-3.6400003,-5.196723,-7.0199995,-7.6988487,-10.4
2038.5,-2.548997,-3.6399994,-4.915923,-7.02,-7.282849,-10.4
2039.5,-2.4033976,-3.6399994,-4.6351233,-7.0199995,-6.866849,-10.4
2040.5,-2.2577972,-3.6399994,-4.354323,-7.02,-6.450849,-10.4
2041.5,-2.1121979,-3.6400008,-4.073524,-7.0200005,-6.03485,-10.400001
2042.5,-1.9665966,-3.6399994,-3.7927227,-7.0199995,-5.618849,-10.4
2043.5,-1.8209963,-3.6399994,-3.5119224,-7.0199995,-5.202849,-10.4
2044.5,-1.6753969,-3.6399999,-3.231123,-7.02,-4.7868495,-10.4
2045.5,-1.5297971,-3.6399994,-2.950323,-7.0199995,-4.3708487,-10.4
2046.5,-1.3841977,-3.6400008,-2.6695237,-7.0200005,-3.9548502,-10.400001
2047.5,-1.2385969,-3.6399999,-2.388723,-7.0199995,-3.5388494,-10.4
2048.5,-1.0929971,-3.64,-2.107923,-7.02,-3.1228495,-10.4
2049.5,-0.9473977,-3.6400003,-1.8271236,-7.0200005,-2.7068498,-10.4
2050.5,-0.8017974,-3.6399999,-1.5463233,-7.0199995,-2.2908492,-10.4
