time,sce1,sce2,sce3,sce4,sce5,sce6
2015.5,0.0,0.0,0.0,0.0,0.0,0.0
2016.5,0.0,0.0,0.0,0.0,0.0,0.0
2017.5,0.0,0.0,0.0,0.0,0.0,0.0
2018.5,0.0,0.0,0.0,0.0,0.0,0.0
2019.5,0.0,0.0,0.0,0.0,0.0,0.0
2020.5,-0.17950820922851562,-0.17950820922851562,-0.34619140625,-0.34619140625,-0.5128746032714844,-0.5128746032714844
2021.5,-0.7230148315429688,-0.7230148315429688,-1.3943824768066406,-1.3943824768066406,-2.0657501220703125,-2.0657501220703125
2022.5,-1.6305198669433594,-1.6305198669433594,-3.144573211669922,-3.144573211669922,-4.658622741699219,-4.658622741699219
2023.5,-2.9020309448242188,-2.9020309448242188,-5.596767425537109,-5.596767425537109,-8.291501998901367,-8.291501998901367
2024.5,-4.537540435791016,-4.537540435791016,-8.750959396362305,-8.750959396362305,-12.964380264282227,-12.964380264282227
2025.5,-6.53704833984375,-6.53704833984375,-12.60715103149414,-12.60715103149414,-18.677257537841797,-18.677257537841797
2026.5,-8.900554656982422,-8.900554656982422,-17.165342330932617,-17.165342330932617,-25.430133819580078,-25.430133819580078
2027.5,-11.628061294555664,-11.628061294555664,-22.425533294677734,-22.425533294677734,-33.2230110168457,-33.2230110168457
2028.5,-14.719568252563477,-14.719568252563477,-28.387725830078125,-28.387725830078125,-42.05588912963867,-42.05588912963867
2029.5,-18.17507553100586,-18.17507553100586,-35.051918029785156,-35.051918029785156,-51.92876625061035,-51.92876625061035
2030.5,-21.81507682800293,-21.81507682800293,-42.07192039489746,-42.07192039489746,-62.32876777648926,-62.32876777648926
2031.5,-25.383272171020508,-25.455076217651367,-48.95344161987305,-49.09192085266113,-72.52361583709717,-72.72876644134521
2032.5,-28.80586814880371,-29.095075607299805,-55.55416393280029,-56.11191940307617,-82.30246448516846,-83.12876510620117
2033.5,-32.08286476135254,-32.73507499694824,-61.87408638000488,-63.13191890716553,-91.66531372070312,-93.52876472473145
2034.5,-35.21426010131836,-36.37507438659668,-67.91320896148682,-70.15191841125488,-100.61216259002686,-103.92876434326172
2035.5,-38.20005702972412,-40.01507377624512,-73.6715316772461,-77.17191791534424,-109.14301109313965,-114.32876396179199
2036.5,-41.04025459289551,-43.65507507324219,-79.14905548095703,-84.19191837310791,-117.25786113739014,-124.72876501083374
2037.5,-43.73485088348389,-47.29507541656494,-84.345778465271,-91.21191787719727,-124.95670986175537,-135.128764629364
2038.5,-46.28384780883789,-50.93507480621338,-89.2617015838623,-98.23191785812378,-132.23955869674683,-145.52876448631287
2039.5,-48.68724536895752,-54.575074195861816,-93.89682483673096,-105.25191736221313,-139.1064076423645,-155.92876434326172
2040.5,-50.94504261016846,-58.215073585510254,-98.2511477470398,-112.27191734313965,-145.5572566986084,-166.32876420021057
2041.5,-53.05724048614502,-61.855074405670166,-102.3246717453003,-119.29191780090332,-151.59210681915283,-176.72876489162445
2042.5,-55.023837089538574,-65.4950737953186,-106.11739444732666,-126.31191730499268,-157.210955619812,-187.12876456975937
