time,ssp119 - base,ssp119 - sce1,ssp119 - sce2,ssp119 - sce3,ssp119 - sce4,ssp119 - sce5,ssp119 - sce6,ssp126 - base,ssp126 - sce1,ssp126 - sce2,ssp126 - sce3,ssp126 - sce4,ssp126 - sce5,ssp126 - sce6,ssp534 - base,ssp534 - sce1,ssp534 - sce2,ssp534 - sce3,ssp534 - sce4,ssp534 - sce5,ssp534 - sce6,ssp434 - base,ssp434 - sce1,ssp434 - sce2,ssp434 - sce3,ssp434 - sce4,ssp434 - sce5,ssp434 - sce6,ssp245 - base,ssp245 - sce1,ssp245 - sce2,ssp245 - sce3,ssp245 - sce4,ssp245 - sce5,ssp245 - sce6,ssp460 - base,ssp460 - sce1,ssp460 - sce2,ssp460 - sce3,ssp460 - sce4,ssp460 - sce5,ssp460 - sce6,ssp370 - base,ssp370 - sce1,ssp370 - sce2,ssp370 - sce3,ssp370 - sce4,ssp370 - sce5,ssp370 - sce6,ssp585 - base,ssp585 - sce1,ssp585 - sce2,ssp585 - sce3,ssp585 - sce4,ssp585 - sce5,ssp585 - sce6
2015.5,1.2002316,1.2002316,1.2002316,1.2002316,1.2002316,1.2002316,1.2002316,1.2003775,1.2003775,1.2003775,1.2003775,1.2003775,1.2003775,1.2003775,1.2003269,1.2003269,1.2003269,1.2003269,1.2003269,1.2003269,1.2003269,1.2002287,1.2002287,1.2002287,1.2002287,1.2002287,1.2002287,1.2002287,1.2001991,1.2001991,1.2001991,1.2001991,1.2001991,1.2001991,1.2001991,1.2003222,1.2003222,1.2003222,1.2003222,1.2003222,1.2003222,1.2003222,1.2003946,1.2003946,1.2003946,1.2003946,1.2003946,1.2003946,1.2003946,1.2001772,1.2001772,1.2001772,1.2001772,1.2001772,1.2001772,1.2001772
2016.5,1.2246914,1.2246914,1.2246914,1.2246914,1.2246914,1.2246914,1.2246914,1.2249699,1.2249699,1.2249699,1.2249699,1.2249699,1.2249699,1.2249699,1.2230177,1.2230177,1.2230177,1.2230177,1.2230177,1.2230177,1.2230177,1.2227058,1.2227058,1.2227058,1.2227058,1.2227058,1.2227058,1.2227058,1.2245245,1.2245245,1.2245245,1.2245245,1.2245245,1.2245245,1.2245245,1.2230949,1.2230949,1.2230949,1.2230949,1.2230949,1.2230949,1.2230949,1.2230396,1.2230396,1.2230396,1.2230396,1.2230396,1.2230396,1.2230396,1.2233028,1.2233028,1.2233028,1.2233028,1.2233028,1.2233028,1.2233028
2017.5,1.2515259,1.2515259,1.2515259,1.2515259,1.2515259,1.2515259,1.2515259,1.2506714,1.2506714,1.2506714,1.2506714,1.2506714,1.2506714,1.2506714,1.2501011,1.2501011,1.2501011,1.2501011,1.2501011,1.2501011,1.2501011,1.248292,1.248292,1.248292,1.248292,1.248292,1.248292,1.248292,1.2546215,1.2546215,1.2546215,1.2546215,1.2546215,1.2546215,1.2546215,1.2492456,1.2492456,1.2492456,1.2492456,1.2492456,1.2492456,1.2492456,1.2492647,1.2492647,1.2492647,1.2492647,1.2492647,1.2492647,1.2492647,1.2484131,1.2484131,1.2484131,1.2484131,1.2484131,1.2484131,1.2484131
2018.5,1.2783813,1.2783813,1.2783813,1.2783813,1.2783813,1.2783813,1.2783813,1.2769175,1.2769175,1.2769175,1.2769175,1.2769175,1.2769175,1.2769175,1.2734642,1.2734642,1.2734642,1.2734642,1.2734642,1.2734642,1.2734642,1.2742128,1.2742128,1.2742128,1.2742128,1.2742128,1.2742128,1.2742128,1.2809458,1.2809458,1.2809458,1.2809458,1.2809458,1.2809458,1.2809458,1.2719345,1.2719345,1.2719345,1.2719345,1.2719345,1.2719345,1.2719345,1.2728052,1.2728052,1.2728052,1.2728052,1.2728052,1.2728052,1.2728052,1.2728872,1.2728872,1.2728872,1.2728872,1.2728872,1.2728872,1.2728872
2019.5,1.2990398,1.2990398,1.2990398,1.2990398,1.2990398,1.2990398,1.2990398,1.2955017,1.2955017,1.2955017,1.2955017,1.2955017,1.2955017,1.2955017,1.2922611,1.2922611,1.2922611,1.2922611,1.2922611,1.2922611,1.2922611,1.2923355,1.2923355,1.2923355,1.2923355,1.2923355,1.2923355,1.2923355,1.3027382,1.3027382,1.3027382,1.3027382,1.3027382,1.3027382,1.3027382,1.2907038,1.2907038,1.2907038,1.2907038,1.2907038,1.2907038,1.2907038,1.2908783,1.2908783,1.2908783,1.2908783,1.2908783,1.2908783,1.2908783,1.292242,1.292242,1.292242,1.292242,1.292242,1.292242,1.292242
2020.5,1.317297,1.3172073,1.3172073,1.3171062,1.3171062,1.3171997,1.3171997,1.3127136,1.3127556,1.3127556,1.3127165,1.3127165,1.3127089,1.3127089,1.3097038,1.3095703,1.3095703,1.3099966,1.3099966,1.3097668,1.3097668,1.3072748,1.3072348,1.3072348,1.3072557,1.3072557,1.3073673,1.3073673,1.3237066,1.3237286,1.3237286,1.3237686,1.3237686,1.3238087,1.3238087,1.3069544,1.3070765,1.3070765,1.3070049,1.3070049,1.3071432,1.3071432,1.3068924,1.3069878,1.3069878,1.3069658,1.3069658,1.3067427,1.3067427,1.3090029,1.3089905,1.3089905,1.308979,1.308979,1.3089447,1.3089447
2021.5,1.3386984,1.3383532,1.3383532,1.3376331,1.3376331,1.3380451,1.3380451,1.3319998,1.3321638,1.3321638,1.3316307,1.3316307,1.3316832,1.3316832,1.328311,1.3282452,1.3282452,1.3286037,1.3286037,1.3280001,1.3280001,1.3272676,1.327404,1.327404,1.3264627,1.3264627,1.327055,1.327055,1.3453131,1.3446579,1.3446579,1.3446617,1.3446617,1.3449097,1.3449097,1.3259392,1.3254576,1.3254576,1.3259516,1.3259516,1.325923,1.325923,1.3266172,1.3263245,1.3263245,1.3261538,1.3261538,1.3262119,1.3262119,1.328248,1.327795,1.327795,1.3274689,1.3274689,1.3277445,1.3277445
2022.5,1.3620443,1.3619928,1.3619928,1.3617916,1.3617916,1.3613081,1.3613081,1.3529406,1.3528109,1.3528109,1.3526945,1.3526945,1.3517895,1.3517895,1.3492546,1.3498878,1.3498878,1.348999,1.348999,1.3493404,1.3493404,1.350028,1.3500109,1.3500109,1.3495226,1.3495226,1.3491259,1.3491259,1.3675976,1.3674641,1.3674641,1.3667593,1.3667593,1.366415,1.366415,1.3465137,1.345993,1.345993,1.345582,1.345582,1.3458729,1.3458729,1.3488684,1.3489466,1.3489466,1.3484211,1.3484211,1.3479099,1.3479099,1.3483524,1.3484097,1.3484097,1.3478546,1.3478546,1.3473206,1.3473206
2023.5,1.3859787,1.3851643,1.3851643,1.3849535,1.3849535,1.384098,1.384098,1.3740416,1.373744,1.373744,1.3734951,1.3734951,1.3725338,1.3725338,1.3715019,1.3703985,1.3703985,1.3706808,1.3706808,1.3694401,1.3694401,1.3724108,1.3719883,1.3719883,1.3720951,1.3720951,1.3714838,1.3714838,1.389699,1.3885345,1.3885345,1.3883028,1.3883028,1.3872528,1.3872528,1.3671875,1.3666039,1.3666039,1.3660145,1.3660145,1.3654709,1.3654709,1.3720007,1.3705549,1.3705549,1.3707371,1.3707371,1.3700495,1.3700495,1.3693857,1.3694849,1.3694849,1.3683796,1.3683796,1.3678226,1.3678226
2024.5,1.4105492,1.407959,1.407959,1.4086695,1.4086695,1.4068251,1.4068251,1.3957529,1.3950405,1.3950405,1.3935041,1.3935041,1.393096,1.393096,1.3940611,1.3923655,1.3923655,1.3911152,1.3911152,1.3906269,1.3906269,1.396286,1.3959064,1.3959064,1.3950071,1.3950071,1.3943434,1.3943434,1.4112473,1.4106226,1.4106226,1.4098482,1.4098482,1.4085073,1.4085073,1.389679,1.3887491,1.3887491,1.3871899,1.3871899,1.387063,1.387063,1.3952045,1.3939476,1.3939476,1.3931866,1.3931866,1.392643,1.392643,1.3912287,1.3912945,1.3912945,1.390501,1.390501,1.3892403,1.3892403
