time,ssp119 - base,ssp119 - sce1,ssp119 - sce2,ssp119 - sce3,ssp119 - sce4,ssp119 - sce5,ssp119 - sce6,ssp126 - base,ssp126 - sce1,ssp126 - sce2,ssp126 - sce3,ssp126 - sce4,ssp126 - sce5,ssp126 - sce6,ssp534 - base,ssp534 - sce1,ssp534 - sce2,ssp534 - sce3,ssp534 - sce4,ssp534 - sce5,ssp534 - sce6,ssp434 - base,ssp434 - sce1,ssp434 - sce2,ssp434 - sce3,ssp434 - sce4,ssp434 - sce5,ssp434 - sce6,ssp245 - base,ssp245 - sce1,ssp245 - sce2,ssp245 - sce3,ssp245 - sce4,ssp245 - sce5,ssp245 - sce6,ssp460 - base,ssp460 - sce1,ssp460 - sce2,ssp460 - sce3,ssp460 - sce4,ssp460 - sce5,ssp460 - sce6,ssp370 - base,ssp370 - sce1,ssp370 - sce2,ssp370 - sce3,ssp370 - sce4,ssp370 - sce5,ssp370 - sce6,ssp585 - base,ssp585 - sce1,ssp585 - sce2,ssp585 - sce3,ssp585 - sce4,ssp585 - sce5,ssp585 - sce6
2015.5,39.271324,39.271324,39.271324,39.271324,39.271324,39.271324,39.271324,39.28193,39.28193,39.28193,39.28193,39.28193,39.28193,39.28193,39.591297,39.591297,39.591297,39.591297,39.591297,39.591297,39.591297,39.384575,39.384575,39.384575,39.384575,39.384575,39.384575,39.384575,39.35712,39.35712,39.35712,39.35712,39.35712,39.35712,39.35712,39.384575,39.384575,39.384575,39.384575,39.384575,39.384575,39.384575,39.70992,39.70992,39.70992,39.70992,39.70992,39.70992,39.70992,39.591297,39.591297,39.591297,39.591297,39.591297,39.591297,39.591297
2016.5,39.520218,39.520218,39.520218,39.520218,39.520218,39.520218,39.520218,39.552334,39.552334,39.552334,39.552334,39.552334,39.552334,39.552334,40.489033,40.489033,40.489033,40.489033,40.489033,40.489033,40.489033,39.86313,39.86313,39.86313,39.86313,39.86313,39.86313,39.86313,39.780003,39.780003,39.780003,39.780003,39.780003,39.780003,39.780003,39.863132,39.863132,39.863132,39.863132,39.863132,39.863132,39.863132,40.84819,40.84819,40.84819,40.84819,40.84819,40.84819,40.84819,40.489033,40.489033,40.489033,40.489033,40.489033,40.489033,40.489033
2017.5,39.769115,39.769115,39.769115,39.769115,39.769115,39.769115,39.769115,39.822742,39.822742,39.822742,39.822742,39.822742,39.822742,39.822742,41.38677,41.38677,41.38677,41.38677,41.38677,41.38677,41.38677,40.34168,40.34168,40.34168,40.34168,40.34168,40.34168,40.34168,40.20288,40.20288,40.20288,40.20288,40.20288,40.20288,40.20288,40.341682,40.341682,40.341682,40.341682,40.341682,40.341682,40.341682,41.98646,41.98646,41.98646,41.98646,41.98646,41.98646,41.98646,41.38677,41.38677,41.38677,41.38677,41.38677,41.38677,41.38677
2018.5,40.018013,40.018013,40.018013,40.018013,40.018013,40.018013,40.018013,40.09315,40.09315,40.09315,40.09315,40.09315,40.09315,40.09315,42.284504,42.284504,42.284504,42.284504,42.284504,42.284504,42.284504,40.820232,40.820232,40.820232,40.820232,40.820232,40.820232,40.820232,40.62576,40.62576,40.62576,40.62576,40.62576,40.62576,40.62576,40.820232,40.820232,40.820232,40.820232,40.820232,40.820232,40.820232,43.124733,43.124733,43.124733,43.124733,43.124733,43.124733,43.124733,42.284504,42.284504,42.284504,42.284504,42.284504,42.284504,42.284504
2019.5,40.266914,40.266914,40.266914,40.266914,40.266914,40.266914,40.266914,40.363556,40.363556,40.363556,40.363556,40.363556,40.363556,40.363556,43.18224,43.18224,43.18224,43.18224,43.18224,43.18224,43.18224,41.298782,41.298782,41.298782,41.298782,41.298782,41.298782,41.298782,41.048637,41.048637,41.048637,41.048637,41.048637,41.048637,41.048637,41.298782,41.298782,41.298782,41.298782,41.298782,41.298782,41.298782,44.263004,44.263004,44.263004,44.263004,44.263004,44.263004,44.263004,43.18224,43.18224,43.18224,43.18224,43.18224,43.18224,43.18224
2020.5,39.68291,39.503403,39.503403,39.33672,39.33672,39.170036,39.170036,40.38039,40.200886,40.200886,40.0342,40.0342,39.86751,39.86751,44.16134,43.98183,43.98183,43.815147,43.815147,43.648464,43.648464,41.415028,41.23552,41.23552,41.068836,41.068836,40.902153,40.902153,41.4034,41.223896,41.223896,41.05721,41.05721,40.890522,40.890522,41.846207,41.666702,41.666702,41.500015,41.500015,41.33333,41.33333,45.244354,45.06485,45.06485,44.898163,44.898163,44.731476,44.731476,44.16134,43.98183,43.98183,43.815147,43.815147,43.648464,43.648464
2021.5,38.24287,37.699364,37.699364,37.19468,37.19468,36.689995,36.689995,40.13661,39.593105,39.593105,39.08842,39.08842,38.583736,38.583736,45.224056,44.68055,44.68055,44.175865,44.175865,43.67118,43.67118,41.1589,40.615395,40.615395,40.110706,40.110706,39.60602,39.60602,41.688152,41.14464,41.14464,40.63996,40.63996,40.135277,40.135277,42.46442,41.920914,41.920914,41.41623,41.41623,40.911545,40.911545,46.06442,45.520912,45.520912,45.016228,45.016228,44.511543,44.511543,45.224056,44.68055,44.68055,44.175865,44.175865,43.67118,43.67118
2022.5,36.80283,35.895325,35.895325,35.05264,35.05264,34.209957,34.209957,39.89283,38.985325,38.985325,38.14264,38.14264,37.299953,37.299953,46.286774,45.37927,45.37927,44.536583,44.536583,43.693897,43.693897,40.902775,39.99527,39.99527,39.15258,39.15258,38.3099,38.3099,41.972904,41.065395,41.065395,40.222713,40.222713,39.380028,39.380028,43.082634,42.175125,42.175125,41.332443,41.332443,40.489758,40.489758,46.884483,45.97698,45.97698,45.134293,45.134293,44.29161,44.29161,46.286774,45.37927,45.37927,44.536583,44.536583,43.693897,43.693897
2023.5,35.362797,34.091286,34.091286,32.910603,32.910603,31.729918,31.729918,39.64905,38.377544,38.377544,37.196857,37.196857,36.016174,36.016174,47.349495,46.077988,46.077988,44.897305,44.897305,43.716614,43.716614,40.646652,39.37514,39.37514,38.194458,38.194458,37.01377,37.01377,42.257652,40.98615,40.98615,39.805466,39.805466,38.62478,38.62478,43.700844,42.429337,42.429337,41.248653,41.248653,40.067966,40.067966,47.70455,46.43304,46.43304,45.252357,45.252357,44.071674,44.071674,47.349495,46.077988,46.077988,44.897305,44.897305,43.716614,43.716614
2024.5,33.922756,32.287247,32.287247,30.768564,30.768564,29.249878,29.249878,39.40527,37.769764,37.769764,36.25108,36.25108,34.732395,34.732395,48.412212,46.776707,46.776707,45.258022,45.258022,43.739334,43.739334,40.390526,38.755016,38.755016,37.236332,37.236332,35.717648,35.717648,42.542404,40.9069,40.9069,39.388214,39.388214,37.86953,37.86953,44.319054,42.683548,42.683548,41.164864,41.164864,39.64618,39.64618,48.524616,46.88911,46.88911,45.370422,45.370422,43.851738,43.851738,48.412212,46.776707,46.776707,45.258022,45.258022,43.739334,43.739334
2025.5,32.482716,30.483208,30.483208,28.626524,28.626524,26.769838,26.769838,39.16149,37.161983,37.161983,35.305298,35.305298,33.448616,33.448616,49.474934,47.475426,47.475426,45.61874,45.61874,43.762054,43.762054,40.1344,38.13489,38.13489,36.278206,36.278206,34.42152,34.42152,42.827156,40.82765,40.82765,38.970966,38.970966,37.11428,37.11428,44.937263,42.93776,42.93776,41.08107,41.08107,39.22439,39.22439,49.34468,47.345173,47.345173,45.48849,45.48849,43.631805,43.631805,49.474934,47.475426,47.475426,45.61874,45.61874,43.762054,43.762054
