time,ssp585 - sce1,ssp370 - sce1,ssp460 - sce1,ssp245 - sce1,ssp434 - sce1,ssp534 - sce1,ssp126 - sce1,ssp119 - sce1,ssp585 - sce2,ssp370 - sce2,ssp460 - sce2,ssp245 - sce2,ssp434 - sce2,ssp534 - sce2,ssp126 - sce2,ssp119 - sce2,ssp585 - sce3,ssp370 - sce3,ssp460 - sce3,ssp245 - sce3,ssp434 - sce3,ssp534 - sce3,ssp126 - sce3,ssp119 - sce3,ssp585 - sce4,ssp370 - sce4,ssp460 - sce4,ssp245 - sce4,ssp434 - sce4,ssp534 - sce4,ssp126 - sce4,ssp119 - sce4,ssp585 - sce5,ssp370 - sce5,ssp460 - sce5,ssp245 - sce5,ssp434 - sce5,ssp534 - sce5,ssp126 - sce5,ssp119 - sce5,ssp585 - sce6,ssp370 - sce6,ssp460 - sce6,ssp245 - sce6,ssp434 - sce6,ssp534 - sce6,ssp126 - sce6,ssp119 - sce6
2015.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.5,-4.3213367e-07,-6.854534e-07,5.9604645e-07,-8.046627e-07,1.937151e-07,-3.2782555e-07,1.0728836e-06,-8.6426735e-07,-4.3213367e-07,-6.854534e-07,5.9604645e-07,-8.046627e-07,1.937151e-07,-3.2782555e-07,1.0728836e-06,-8.6426735e-07,-3.2782555e-07,2.9802322e-08,-9.3877316e-07,-5.066395e-07,-8.34465e-07,2.3841858e-07,7.003546e-07,-8.1956387e-07,-3.2782555e-07,2.9802322e-08,-9.3877316e-07,-5.066395e-07,-8.34465e-07,2.3841858e-07,7.003546e-07,-8.1956387e-07,-1.1920929e-06,-1.1920929e-07,-4.61936e-07,-4.917383e-07,4.172325e-07,-1.0430813e-06,1.4305115e-06,-8.046627e-07,-1.1920929e-06,-1.1920929e-07,-4.61936e-07,-4.917383e-07,4.172325e-07,-1.0430813e-06,1.4305115e-06,-8.046627e-07
2021.5,-1.3113022e-06,-8.940697e-07,-3.2782555e-07,-2.2947788e-06,-1.1920929e-07,-1.4901161e-06,7.8976154e-07,-2.9057264e-06,-1.3113022e-06,-8.940697e-07,-3.2782555e-07,-2.2947788e-06,-1.1920929e-07,-1.4901161e-06,7.8976154e-07,-2.9057264e-06,-3.5613775e-06,-1.758337e-06,-8.493662e-07,-1.9967556e-06,-4.351139e-06,1.937151e-06,7.748604e-07,-5.3942204e-06,-3.5613775e-06,-1.758337e-06,-8.493662e-07,-1.9967556e-06,-4.351139e-06,1.937151e-06,7.748604e-07,-5.3942204e-06,-4.798174e-06,-4.2021275e-06,6.2584877e-07,-2.682209e-06,-2.3841858e-07,-4.0382147e-06,6.7055225e-07,-3.993511e-06,-4.798174e-06,-4.2021275e-06,6.2584877e-07,-2.682209e-06,-2.3841858e-07,-4.0382147e-06,6.7055225e-07,-3.993511e-06
2022.5,-2.8908253e-06,-1.1473894e-06,-3.4570694e-06,-4.172325e-06,-2.2351742e-07,-2.0861626e-06,-3.4421682e-06,-4.068017e-06,-2.8908253e-06,-1.1473894e-06,-3.4570694e-06,-4.172325e-06,-2.2351742e-07,-2.0861626e-06,-3.4421682e-06,-4.068017e-06,-9.417534e-06,-6.839633e-06,-5.5730343e-06,-7.4207783e-06,-1.0833144e-05,-3.4719706e-06,-3.3974648e-06,-1.0833144e-05,-9.417534e-06,-6.839633e-06,-5.5730343e-06,-7.4207783e-06,-1.0833144e-05,-3.4719706e-06,-3.3974648e-06,-1.0833144e-05,-1.5124679e-05,-1.1757016e-05,-4.693866e-06,-8.493662e-06,-5.930662e-06,-9.760261e-06,-9.343028e-06,-1.0415912e-05,-1.5124679e-05,-1.1757016e-05,-4.693866e-06,-8.493662e-06,-5.930662e-06,-9.760261e-06,-9.343028e-06,-1.0415912e-05
2023.5,-1.8626451e-06,-8.881092e-06,-5.5730343e-06,-1.0833144e-05,-7.3611736e-06,-3.5017729e-06,-9.0152025e-06,-9.983778e-06,-1.8626451e-06,-8.881092e-06,-5.5730343e-06,-1.0833144e-05,-7.3611736e-06,-3.5017729e-06,-9.0152025e-06,-9.983778e-06,-1.5586615e-05,-1.8239021e-05,-1.6093254e-05,-1.5869737e-05,-1.989305e-05,-8.821487e-06,-1.02669e-05,-1.9073486e-05,-1.5586615e-05,-1.8239021e-05,-1.6093254e-05,-1.5869737e-05,-1.989305e-05,-8.821487e-06,-1.02669e-05,-1.9073486e-05,-2.4318695e-05,-3.094971e-05,-1.9103289e-05,-2.82377e-05,-1.8686056e-05,-2.373755e-05,-1.8328428e-05,-2.6479363e-05,-2.4318695e-05,-3.094971e-05,-1.9103289e-05,-2.82377e-05,-1.8686056e-05,-2.373755e-05,-1.8328428e-05,-2.6479363e-05
2024.5,-8.776784e-06,-1.8939376e-05,-1.3709068e-05,-2.2828579e-05,-1.6793609e-05,-1.321733e-05,-1.7508864e-05,-2.6896596e-05,-8.776784e-06,-1.8939376e-05,-1.3709068e-05,-2.2828579e-05,-1.6793609e-05,-1.321733e-05,-1.7508864e-05,-2.6896596e-05,-3.07858e-05,-3.696978e-05,-3.3274293e-05,-3.2126904e-05,-3.4555793e-05,-2.4721026e-05,-2.6509166e-05,-3.260374e-05,-3.07858e-05,-3.696978e-05,-3.3274293e-05,-3.2126904e-05,-3.4555793e-05,-2.4721026e-05,-2.6509166e-05,-3.260374e-05,-5.042553e-05,-5.4195523e-05,-4.0367246e-05,-5.6028366e-05,-3.8161874e-05,-4.6402216e-05,-4.014373e-05,-5.312264e-05,-5.042553e-05,-5.4195523e-05,-4.0367246e-05,-5.6028366e-05,-3.8161874e-05,-4.6402216e-05,-4.014373e-05,-5.312264e-05
