time,104 GtCO2 temporary storage vs. permanent removal,200 GtCO2 temporary storage vs. permanent removal,296 GtCO2 temporary storage vs. permanent removal
2015.5,0.0,0.0,0.0
2016.5,0.0,0.0,0.0
2017.5,0.0,0.0,0.0
2018.5,0.0,0.0,0.0
2019.5,0.0,0.0,0.0
2020.5,0.0,0.0,0.0
2021.5,0.0,0.0,0.0
2022.5,0.0,0.0,0.0
2023.5,0.0,0.0,0.0
2024.5,0.0,0.0,0.0
2025.5,0.0,0.0,0.0
2026.5,0.0,0.0,0.0
2027.5,0.0,0.0,0.0
2028.5,0.0,0.0,0.0
2029.5,0.0,0.0,0.0
2030.5,0.0,0.0,0.0
2031.5,0.0,0.0,0.0
2032.5,0.0,0.0,0.0
2033.5,0.0,0.0,0.0
2034.5,0.0,0.0,0.0
2035.5,0.0,0.0,0.0
2036.5,0.0,0.0,0.0
2037.5,0.0,0.0,0.0
2038.5,0.0,0.0,0.0
2039.5,0.0,0.0,0.0
2040.5,0.0,0.0,0.0
2041.5,0.0,0.0,0.0
2042.5,0.0,0.0,0.0
2043.5,0.0,0.0,0.0
2044.5,0.0,0.0,0.0
2045.5,0.0,0.0,0.0
2046.5,0.0,0.0,0.0
2047.5,0.0,0.0,0.0
2048.5,0.0,0.0,0.0
2049.5,0.0,0.0,0.0
2050.5,0.0,0.0,0.0
2051.5,0.0,0.0,0.0
2052.5,0.0,0.0,0.0
2053.5,0.0,0.0,0.0
2054.5,0.0,0.0,0.0
2055.5,0.0,0.0,0.0
2056.5,0.0,0.0,0.0
2057.5,0.0,0.0,0.0
2058.5,-1.4305115e-06,0.0,-3.8146973e-06
2059.5,-1.9073486e-06,-2.861023e-06,-1.0967255e-05
2060.5,-7.6293945e-06,-1.0967255e-05,-2.1457672e-05
2061.5,-1.5258789e-05,-2.0503998e-05,-3.6239624e-05
2062.5,-2.5749207e-05,-3.9577484e-05,-6.055832e-05
2063.5,-3.7670135e-05,-6.198883e-05,-8.916855e-05
2064.5,-5.1021576e-05,-9.536743e-05,-0.00013303757
