time,104 GtCO2 temporary storage vs. permanent removal,200 GtCO2 temporary storage vs. permanent removal,296 GtCO2 temporary storage vs. permanent removal
2015.5,0.0,0.0,0.0
2016.5,0.0,0.0,0.0
2017.5,0.0,0.0,0.0
2018.5,0.0,0.0,0.0
2019.5,0.0,0.0,0.0
2020.5,0.0,0.0,0.0
2021.5,0.0,0.0,0.0
2022.5,0.0,0.0,0.0
2023.5,0.0,0.0,0.0
2024.5,0.0,0.0,0.0
2025.5,0.0,0.0,0.0
2026.5,0.0,0.0,0.0
2027.5,0.0,0.0,0.0
2028.5,0.0,0.0,0.0
2029.5,0.0,0.0,0.0
2030.5,0.0,0.0,0.0
2031.5,0.0,0.0,0.0
2032.5,0.0,0.0,0.0
2033.5,0.0,0.0,0.0
2034.5,0.0,0.0,0.0
2035.5,0.0,0.0,0.0
2036.5,0.0,0.0,0.0
2037.5,0.0,0.0,0.0
2038.5,0.0,0.0,0.0
2039.5,0.0,0.0,0.0
2040.5,0.0,0.0,0.0
2041.5,0.0,0.0,0.0
2042.5,0.0,0.0,0.0
2043.5,0.0,0.0,0.0
2044.5,0.0,0.0,0.0
2045.5,0.0,0.0,0.0
2046.5,0.0,0.0,0.0
2047.5,0.0,0.0,0.0
2048.5,0.0,0.0,0.0
2049.5,0.0,0.0,0.0
2050.5,0.0,0.0,0.0
2051.5,0.0,0.0,0.0
2052.5,0.0,0.0,0.0
2053.5,0.0,0.0,0.0
2054.5,0.0,0.0,0.0
2055.5,0.0,0.0,0.0
2056.5,0.0,0.0,0.0
2057.5,0.0,0.0,0.0
2058.5,-0.00390625,-0.00390625,-0.0078125
2059.5,-0.01171875,-0.01953125,-0.02734375
2060.5,-0.01953125,-0.0390625,-0.0625
2061.5,-0.04296875,-0.078125,-0.1171875
2062.5,-0.06640625,-0.125,-0.19140625
2063.5,-0.09765625,-0.1875,-0.2890625
2064.5,-0.140625,-0.265625,-0.40625
2065.5,-0.1875,-0.36328125,-0.546875
2066.5,-0.2421875,-0.46875,-0.70703125
